Method,UDT
BK TCP Number,0
Throughput(Mb/s),22.9478
,
,
Method,CTCP
BK TCP Number,0
Throughput(Mb/s),32.1066
,
,
Method,CBiCTCP
BK TCP Number,0
Throughput(Mb/s),28.4525
,
,
Method,UDT
BK TCP Number,3
Throughput(Mb/s),17.3751
,
,
Method,CTCP
BK TCP Number,3
Throughput(Mb/s),1.44149
,
,
Method,CBiCTCP
BK TCP Number,3
Throughput(Mb/s),7.40173
,
,
Method,UDT
BK TCP Number,5
Throughput(Mb/s),13.4986
,
,
Method,CTCP
BK TCP Number,5
Throughput(Mb/s),1.36785
,
,
,
Method,CBiCTCP
BK TCP Number,5
Throughput(Mb/s),3.25882
,
,
Method,UDT
BK TCP Number,10
Throughput(Mb/s),10.1312
,
,
Method,CTCP
BK TCP Number,10
Throughput(Mb/s),0.164698
,
,
Method,CBiCTCP
BK TCP Number,10
Throughput(Mb/s),1.27784
